선수명,ID,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
이종욱,73339,두산,120,58,51,7,87.9,0,0
정근우,75808,SK,120,55,45,10,81.8,0,0
이용규,74163,KIA,125,49,38,11,77.6,0,0
박용택,72133,LG,126,28,25,3,89.3,0,0
박재홍,96362,SK,124,30,22,8,73.3,0,0
강명구,73409,삼성,91,27,21,6,77.8,0,0
조동찬,72466,삼성,107,24,20,4,83.3,0,0
전준호,91511,현대,109,27,20,7,74.1,0,0
정수근,95208,롯데,83,23,19,4,82.6,0,0
민병헌,76249,두산,80,20,17,3,85.0,0,0
전상렬,91465,두산,98,17,16,1,94.1,0,0
고동진,74745,한화,120,20,16,4,80.0,0,0
김종국,96616,KIA,111,21,16,5,76.2,0,0
박한이,71432,삼성,126,25,15,10,60.0,0,0
이대형,73153,LG,87,23,15,8,65.2,0,0
고영민,72214,두산,116,24,14,10,58.3,0,0
양준혁,93410,삼성,126,19,12,7,63.2,0,0
오태근,72169,LG,70,18,12,6,66.7,0,0
김원섭,71207,KIA,94,14,12,2,85.7,0,0
김민재,91523,한화,121,14,11,3,78.6,0,0
박진만,96307,삼성,115,16,10,6,62.5,0,0
이종범,93607,KIA,93,17,10,7,58.8,0,0
김재걸,95409,삼성,115,12,9,3,75.0,0,0
조영훈,75441,삼성,88,11,9,2,81.8,0,0
임재철,99507,두산,99,15,9,6,60.0,0,0
강동우,98420,두산,118,14,8,6,57.1,0,0
김강민,71837,SK,96,13,8,5,61.5,0,0
조동화,71848,SK,65,9,8,1,88.9,0,0
박기혁,70553,롯데,117,16,8,8,50.0,0,0
서한규,98504,현대,88,9,8,1,88.9,0,0
송지만,96761,현대,119,11,8,3,72.7,0,0
이택근,73342,현대,118,14,8,6,57.1,0,0
데이비스,99725,한화,117,13,7,6,53.8,0,0
이승화,71565,롯데,89,11,7,4,63.6,0,0
정수성,97350,현대,71,13,7,6,53.8,0,0
김창희,97644,삼성,114,8,6,2,75.0,0,0
김한수,94450,삼성,103,9,6,3,66.7,0,0
박재상,71857,SK,65,11,6,5,54.5,0,0
조원우,94836,한화,106,8,6,2,75.0,0,0
클리어,75154,한화,93,10,6,4,60.0,0,0
권용관,95158,LG,79,9,6,3,66.7,0,0
장성호,96610,KIA,126,9,6,3,66.7,0,0
김재현,94107,SK,109,7,5,2,71.4,0,0
이대수,72860,SK,122,6,5,1,83.3,0,0
김수연,96777,한화,109,7,5,2,71.4,0,0
박현승,95518,롯데,104,8,5,3,62.5,0,0
신명철,71504,롯데,73,6,5,1,83.3,0,0
박경수,73113,LG,107,7,5,2,71.4,0,0
유한준,74339,현대,110,8,5,3,62.5,0,0
강봉규,70224,삼성,87,7,4,3,57.1,0,0
신경현,98742,한화,100,5,4,1,80.0,0,0
강민호,74540,롯데,126,5,4,1,80.0,0,0
안재만,97157,LG,81,5,4,1,80.0,0,0
최길성,70649,LG,83,4,4,0,100,0,0
차화준,75307,현대,100,5,4,1,80.0,0,0
박종호,92906,삼성,104,4,3,1,75.0,0,0
이정식,74402,삼성,69,3,3,0,100,0,0
안경현,92207,두산,125,4,3,1,75.0,0,0
정원석,70240,두산,67,7,3,4,42.9,0,0
이진영,99810,SK,118,7,3,4,42.9,0,0
조중근,71835,SK,54,3,3,0,100,0,0
최정,75847,SK,92,5,3,2,60.0,0,0
김인철,90811,한화,69,4,3,1,75.0,0,0
이원석,75566,롯데,123,4,3,1,75.0,0,0
호세,99534,롯데,122,5,3,2,60.0,0,0
황성용,76562,롯데,77,7,3,4,42.9,0,0
이병규,97109,LG,120,5,3,2,60.0,0,0
