선수명,ID,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
이용규,74163,KIA,125,56,44,12,78.6,0,0
서건창,78168,넥센,127,51,39,12,76.5,0,0
김주찬,70410,롯데,118,45,32,13,71.1,0,0
장기영,71347,넥센,116,42,32,10,76.2,0,0
김선빈,78603,KIA,126,42,30,12,71.4,0,0
박용택,72133,LG,127,38,30,8,78.9,0,0
배영섭,79465,삼성,122,33,27,6,81.8,0,0
황재균,76313,롯데,133,34,26,8,76.5,0,0
김상수,79402,삼성,129,36,25,11,69.4,0,0
이대형,73153,LG,101,28,25,3,89.3,0,0
정수빈,79231,두산,101,30,24,6,80.0,0,0
오지환,79109,LG,133,37,23,14,62.2,0,0
정형식,79459,삼성,118,26,22,4,84.6,0,0
정근우,75808,SK,127,34,22,12,64.7,0,0
전준우,78513,롯데,122,29,21,8,72.4,0,0
이종욱,73339,두산,121,29,21,8,72.4,0,0
강정호,76325,넥센,124,26,21,5,80.8,0,0
최정,75847,SK,130,28,20,8,71.4,0,0
안치홍,79608,KIA,132,23,20,3,87.0,0,0
박병호,75125,넥센,133,29,20,9,69.0,0,0
정수성,97350,넥센,87,28,19,9,67.9,0,0
강명구,73409,삼성,72,18,15,3,83.3,0,0
오재원,77248,두산,77,16,14,2,87.5,0,0
오선진,78756,한화,110,23,14,9,60.9,0,0
이택근,73342,넥센,94,21,13,8,61.9,0,0
조동찬,72466,삼성,94,15,12,3,80.0,0,0
김재현,76869,SK,84,17,12,5,70.6,0,0
양영동,76459,LG,72,12,12,0,100,0,0
김강민,71837,SK,123,21,11,10,52.4,0,0
손아섭,77532,롯데,132,15,10,5,66.7,0,0
허경민,79240,두산,92,17,9,8,52.9,0,0
이학준,74148,한화,60,11,9,2,81.8,0,0
김원섭,71207,KIA,120,12,8,4,66.7,0,0
정진호,61208,두산,46,11,8,3,72.7,0,0
고동진,74745,한화,110,17,8,9,47.1,0,0
이병규,76100,LG,69,11,8,3,72.7,0,0
나지완,78629,KIA,124,10,7,3,70.0,0,0
고영민,72214,두산,58,8,7,1,87.5,0,0
김경언,71610,한화,110,11,7,4,63.6,0,0
