선수명,ID,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
이대형,73153,LG,125,73,53,20,72.6,0,0
이종욱,73339,두산,123,61,47,14,77.0,0,0
고영민,72214,두산,126,46,36,10,78.3,0,0
민병헌,76249,두산,119,39,30,9,76.9,0,0
조동화,71848,SK,121,31,25,6,80.6,0,0
정근우,75808,SK,111,34,24,10,70.6,0,0
김주찬,70410,롯데,113,30,22,8,73.3,0,0
박재상,71857,SK,123,28,21,7,75.0,0,0
양준혁,93410,삼성,123,28,20,8,71.4,0,0
박용택,72133,LG,126,22,20,2,90.9,0,0
신명철,71504,삼성,126,28,19,9,67.9,0,0
김강민,71837,SK,124,29,19,10,65.5,0,0
김재걸,95409,삼성,116,24,17,7,70.8,0,0
이용규,74163,KIA,118,28,17,11,60.7,0,0
강명구,73409,삼성,68,16,13,3,81.3,0,0
김종국,96616,KIA,93,16,13,3,81.3,0,0
전준호,91511,현대,121,19,11,8,57.9,0,0
김동주,98218,두산,119,13,11,2,84.6,0,0
이승화,71565,롯데,75,19,11,8,57.9,0,0
권용관,95158,LG,121,15,11,4,73.3,0,0
박한이,71432,삼성,123,13,10,3,76.9,0,0
고동진,74745,한화,124,14,10,4,71.4,0,0
송지만,96761,현대,120,14,10,4,71.4,0,0
박재홍,96362,SK,115,17,10,7,58.8,0,0
정수근,95208,롯데,105,15,10,5,66.7,0,0
박경수,73113,LG,115,13,10,3,76.9,0,0
김일경,97300,현대,117,12,9,3,75.0,0,0
김원섭,71207,KIA,114,18,9,9,50.0,0,0
장성호,96610,KIA,116,13,9,4,69.2,0,0
전상렬,91465,두산,75,14,9,5,64.3,0,0
최정,75847,SK,122,15,8,7,53.3,0,0
김민재,91523,한화,118,10,7,3,70.0,0,0
이성열,73136,LG,75,8,7,1,87.5,0,0
심정수,94204,삼성,124,6,6,0,100,0,0
조원우,94836,한화,114,7,6,1,85.7,0,0
한상훈,73703,한화,118,11,6,5,54.5,0,0
이택근,73342,현대,116,7,6,1,85.7,0,0
박경완,92809,SK,119,9,6,3,66.7,0,0
이진영,99810,SK,80,6,6,0,100,0,0
김상현,70646,LG,121,6,6,0,100,0,0
박진만,96307,삼성,100,8,5,3,62.5,0,0
김현수,76290,두산,99,7,5,2,71.4,0,0
윤재국,98808,두산,74,9,5,4,55.6,0,0
이대수,72860,두산,109,8,5,3,62.5,0,0
정원석,70240,두산,78,6,5,1,83.3,0,0
박기혁,70553,롯데,108,9,5,4,55.6,0,0
정보명,73513,롯데,119,6,5,1,83.3,0,0
오태근,72169,LG,68,10,5,5,50.0,0,0
이종열,91015,LG,121,8,5,3,62.5,0,0
강봉규,70224,삼성,83,6,4,2,66.7,0,0
신경현,98742,한화,107,4,4,0,100,0,0
이영우,96734,한화,97,6,4,2,66.7,0,0
이현곤,72606,KIA,126,6,4,2,66.7,0,0
김재현,94107,SK,84,8,4,4,50.0,0,0
박용근,77104,LG,67,6,4,2,66.7,0,0
발데스,77157,LG,116,5,4,1,80.0,0,0
조동찬,72466,삼성,38,4,3,1,75.0,0,0
심광호,96722,한화,76,4,3,1,75.0,0,0
브룸바,73324,현대,126,5,3,2,60.0,0,0
김상훈,70612,KIA,109,3,3,0,100,0,0
송산,75612,KIA,76,6,3,3,50.0,0,0
이종범,93607,KIA,84,5,3,2,60.0,0,0
최희섭,77623,KIA,52,4,3,1,75.0,0,0
오재원,77248,두산,49,5,3,2,60.0,0,0
나주환,73209,SK,117,7,3,4,42.9,0,0
이호준,94629,SK,101,9,3,6,33.3,0,0
정경배,96441,SK,116,6,3,3,50.0,0,0
김창희,97644,삼성,100,6,2,4,33.3,0,0
김태균,71752,한화,118,3,2,1,66.7,0,0
이범호,70756,한화,126,2,2,0,100,0,0
김동수,90419,현대,111,6,2,4,33.3,0,0
유한준,74339,현대,112,2,2,0,100,0,0
이숭용,94310,현대,95,3,2,1,66.7,0,0
황재균,76313,현대,63,4,2,2,50.0,0,0
김연훈,77609,KIA,52,3,2,1,66.7,0,0
채상병,72742,두산,91,4,2,2,50.0,0,0
박정권,74846,SK,100,3,2,1,66.7,0,0
이원석,75566,롯데,121,7,2,5,28.6,0,0
이인구,73563,롯데,65,4,2,2,50.0,0,0
최만호,97351,롯데,41,3,2,1,66.7,0,0
정의윤,75151,LG,88,4,2,2,50.0,0,0
박정환,70408,삼성,46,1,1,0,100,0,0
조영훈,75441,삼성,66,1,1,0,100,0,0
김동영,75739,한화,16,2,1,1,50.0,0,0
김수연,96777,한화,31,2,1,1,50.0,0,0
정희상,75762,한화,41,1,1,0,100,0,0
크루즈,77725,한화,121,1,1,0,100,0,0
서한규,98504,현대,48,2,1,1,50.0,0,0
정성훈,99606,현대,122,3,1,2,33.3,0,0
정수성,97350,현대,23,3,1,2,33.3,0,0
차화준,75307,현대,47,3,1,2,33.3,0,0
김주형,74605,KIA,36,2,1,1,50.0,0,0
손지환,97103,KIA,102,2,1,1,50.0,0,0
이강서,77600,KIA,15,1,1,0,100,0,0
