선수명,ID,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
이종범,93607,KIA,132,60,50,10,83.3,0,0
박용택,72133,LG,133,54,42,12,77.8,0,0
김종국,96616,KIA,125,42,31,11,73.8,0,0
마르티네스,71419,LG,131,41,27,14,65.9,0,0
김수연,96777,한화,128,31,26,5,83.9,0,0
유지현,94106,LG,109,31,23,8,74.2,0,0
조성환,99543,롯데,129,34,23,11,67.6,0,0
전준호,91511,현대,129,29,20,9,69.0,0,0
이영우,96734,한화,133,27,18,9,66.7,0,0
박한이,71432,삼성,133,24,17,7,70.8,0,0
정수근,95208,두산,89,22,15,7,68.2,0,0
박재홍,96362,KIA,108,23,14,9,60.9,0,0
김민재,91523,SK,129,21,14,7,66.7,0,0
장성호,96610,KIA,130,17,13,4,76.5,0,0
조원우,94836,SK,128,18,13,5,72.2,0,0
최경환,70117,두산,115,14,10,4,71.4,0,0
이진영,99810,SK,128,19,10,9,52.6,0,0
고지행,73732,삼성,92,14,9,5,64.3,0,0
정성훈,99606,현대,91,13,9,4,69.2,0,0
이호준,94629,SK,133,16,9,7,56.3,0,0
정경배,96441,SK,119,12,9,3,75.0,0,0
강동우,98420,삼성,130,12,8,4,66.7,0,0
이현곤,72606,KIA,129,12,8,4,66.7,0,0
송지만,96761,한화,74,14,8,6,57.1,0,0
이승엽,95436,삼성,131,7,7,0,100,0,0
김상현,70646,LG,55,8,7,1,87.5,0,0
이대형,73153,LG,47,10,7,3,70.0,0,0
김경언,71610,KIA,125,14,7,7,50.0,0,0
홍세완,70626,KIA,129,14,7,7,50.0,0,0
전상렬,91465,두산,125,13,7,6,53.8,0,0
김주찬,70410,롯데,55,9,7,2,77.8,0,0
박기혁,70553,롯데,95,11,7,4,63.6,0,0
박현승,95518,롯데,118,15,7,8,46.7,0,0
이시온,73564,롯데,90,8,7,1,87.5,0,0
박종호,92906,현대,131,10,6,4,60.0,0,0
박진만,96307,현대,129,11,6,5,54.5,0,0
심정수,94204,현대,133,8,6,2,75.0,0,0
프랭클린,72337,현대,38,8,6,2,75.0,0,0
박경완,92809,SK,122,12,6,6,50.0,0,0
임재철,99507,한화,119,12,6,6,50.0,0,0
한상훈,73703,한화,95,9,6,3,66.7,0,0
최기문,96224,롯데,119,11,6,5,54.5,0,0
김한수,94450,삼성,131,7,5,2,71.4,0,0
안상준,95666,LG,73,6,5,1,83.3,0,0
이종열,91015,LG,100,8,5,3,62.5,0,0
김민호,93242,두산,77,8,5,3,62.5,0,0
김창희,97644,두산,121,8,5,3,62.5,0,0
