선수명,ID,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
박해민,62415,삼성,141,67,52,15,77.6,6,2
손아섭,77532,롯데,144,46,42,4,91.3,10,1
이대형,73153,KT,143,57,37,20,64.9,2,2
고종욱,61353,넥센,133,42,28,14,66.7,9,2
김하성,64300,넥센,144,43,28,15,65.1,4,0
서건창,78168,넥센,140,39,26,13,66.7,9,1
황재균,76313,롯데,127,35,25,10,71.4,5,2
정근우,75808,한화,138,28,22,6,78.6,8,2
이용규,74163,한화,113,32,21,11,65.6,2,1
박민우,62907,NC,121,26,20,6,76.9,1,0
김호령,65653,KIA,124,29,19,10,65.5,8,2
김용의,78217,LG,105,26,19,7,73.1,4,1
히메네스,65103,LG,135,27,18,9,66.7,9,2
박건우,79215,두산,132,23,17,6,73.9,8,1
임병욱,64346,넥센,104,23,17,6,73.9,3,2
오지환,79109,LG,121,26,17,9,65.4,4,2
심우준,64006,KT,122,18,17,1,94.4,2,1
박정음,62353,넥센,98,25,16,9,64.0,4,1
유재신,76368,넥센,93,23,16,7,69.6,0,0
고메즈,66805,SK,117,24,16,8,66.7,6,0
이종욱,73339,NC,134,18,15,3,83.3,4,0
아두치,65523,롯데,64,17,15,2,88.2,3,0
이명기,76849,SK,99,22,14,8,63.6,5,0
오재원,77248,두산,122,23,13,10,56.5,3,1
김종호,77454,NC,93,19,13,6,68.4,5,0
테임즈,64914,NC,123,17,13,4,76.5,4,1
김재현,76869,SK,100,20,13,7,65.0,2,0
정수빈,79231,두산,114,16,12,4,75.0,5,0
김강민,71837,SK,115,17,12,5,70.6,8,0
노수광,63704,KIA,77,14,12,2,85.7,0,2
김문호,76509,롯데,140,27,12,15,44.4,4,2
하준호,78517,KT,94,16,12,4,75.0,2,2
구자욱,62404,삼성,108,15,10,5,66.7,6,0
필,64699,KIA,132,13,10,3,76.9,4,2
민병헌,76249,두산,134,11,9,2,81.8,7,0
김주찬,70410,KIA,130,16,9,7,56.3,5,0
서동욱,73606,KIA,124,13,9,4,69.2,5,0
김재호,74206,두산,137,12,8,4,66.7,6,0
김재환,78224,두산,134,10,8,2,80.0,4,0
백상원,60456,삼성,132,11,8,3,72.7,4,0
이재율,66968,NC,32,9,8,1,88.9,0,0
최정민,62893,SK,88,12,8,4,66.7,2,1
이병규,76100,LG,103,13,8,5,61.5,4,1
임훈,74823,LG,60,12,8,4,66.7,0,0
정성훈,99606,LG,126,12,8,4,66.7,2,0
나성범,62947,NC,144,11,7,4,63.6,4,1
이택근,73342,넥센,127,11,7,4,63.6,4,1
강한울,64610,KIA,104,10,7,3,70.0,3,0
신종길,72559,KIA,75,11,7,4,63.6,2,0
정훈,60523,롯데,121,14,7,7,50.0,3,1
채은성,79192,LG,128,10,7,3,70.0,5,0
허경민,79240,두산,144,12,6,6,50.0,5,1
김상수,79402,삼성,105,10,6,4,60.0,1,1
이영욱,78467,삼성,104,9,6,3,66.7,0,0
김민성,77564,넥센,141,9,6,3,66.7,6,0
조동화,71848,SK,76,8,6,2,75.0,3,0
나지완,78629,KIA,118,9,6,3,66.7,4,0
윤정우,61652,KIA,46,7,6,1,85.7,1,2
오승택,60558,롯데,42,8,6,2,75.0,1,0
박용택,72133,LG,138,12,6,6,50.0,6,0
이천웅,61186,LG,103,15,6,9,40.0,1,1
배영섭,79465,삼성,93,13,5,8,38.5,4,2
이승엽,95436,삼성,142,7,5,2,71.4,3,0
김성욱,62934,NC,130,7,5,2,71.4,3,0
양성우,62797,한화,108,7,5,2,71.4,9,1
하주석,62700,한화,115,12,5,7,41.7,6,1
김동한,61204,롯데,78,6,5,1,83.3,5,0
문선재,79113,LG,52,5,5,0,100,3,1
손주인,72456,LG,122,9,5,4,55.6,10,1
정주현,79150,LG,99,10,5,5,50.0,5,1
전민수,78361,KT,74,7,5,2,71.4,2,2
박정권,74846,SK,125,4,4,0,100,2,0
강민호,74540,롯데,116,4,4,0,100,6,0
김민하,61554,롯데,46,4,4,0,100,0,0
유한준,74339,KT,110,5,4,1,80.0,3,0
류지혁,62234,두산,90,5,3,2,60.0,0,0
이지영,79456,삼성,129,5,3,2,60.0,7,0
최재원,63913,삼성,28,4,3,1,75.0,1,0
모창민,78813,NC,63,5,3,2,60.0,1,0
이상호,60566,NC,15,3,3,0,100,0,0
이호준,94629,NC,119,5,3,2,60.0,7,0
조영훈,75441,NC,109,6,3,3,50.0,0,0
박동원,79365,넥센,127,4,3,1,75.0,5,0
김성현,76802,SK,138,6,3,3,50.0,6,0
박재상,71857,SK,94,9,3,6,33.3,4,0
김경언,71610,한화,66,3,3,0,100,2,0
송광민,76753,한화,116,3,3,0,100,5,0
장민석,71347,한화,98,6,3,3,50.0,3,2
고영우,63636,KIA,63,5,3,2,60.0,0,1
김상호,62559,롯데,114,4,3,1,75.0,4,1
나경민,66508,롯데,35,6,3,3,50.0,0,0
박종윤,71562,롯데,73,5,3,2,60.0,1,0
전준우,78513,롯데,25,6,3,3,50.0,1,0
양석환,64153,LG,80,3,3,0,100,3,0
김선민,60496,KT,32,4,3,1,75.0,0,0
박경수,73113,KT,121,4,3,1,75.0,6,1
박세혁,62244,두산,87,4,2,2,50.0,1,0
양의지,76232,두산,108,2,2,0,100,8,0
조수행,66209,두산,66,5,2,3,40.0,2,0
최형우,72443,삼성,138,4,2,2,50.0,6,0
김준완,63920,NC,122,7,2,5,28.6,2,0
박석민,74465,NC,126,2,2,0,100,3,0
김지수,79300,넥센,81,4,2,2,50.0,1,1
윤석민,74215,넥센,92,5,2,3,40.0,2,0
김동엽,66838,SK,57,3,2,1,66.7,3,1
박승욱,62802,SK,36,3,2,1,66.7,2,0
정의윤,75151,SK,144,5,2,3,40.0,12,0
박찬호,64646,KIA,69,2,2,0,100,1,0
백용환,78643,KIA,80,3,2,1,66.7,1,0
김재유,65506,롯데,21,5,2,3,40.0,0,0
맥스웰,66523,롯데,23,4,2,2,50.0,1,0
문규현,72546,롯데,120,5,2,3,40.0,1,1
오현근,78850,롯데,19,2,2,0,100,1,0
이여상,76435,롯데,61,4,2,2,50.0,1,0
이우민,71565,롯데,52,4,2,2,50.0,0,1
황목치승,63077,LG,48,4,2,2,50.0,1,0
김민혁,64004,KT,26,3,2,1,66.7,0,0
김연훈,77609,KT,103,2,2,0,100,1,0
배병옥,64166,KT,65,3,2,1,66.7,1,1
이진영,99810,KT,115,7,2,5,28.6,7,1
국해성,79290,두산,58,2,1,1,50.0,1,0
오재일,75334,두산,105,1,1,0,100,5,0
김재현,64499,삼성,122,2,1,1,50.0,2,0
김정혁,61463,삼성,46,2,1,1,50.0,1,0
박한이,71432,삼성,110,1,1,0,100,2,0
최선호,64493,삼성,60,3,1,2,33.3,1,0
손시헌,73213,NC,110,1,1,0,100,5,0
황윤호,62908,NC,33,1,1,0,100,1,0
강지광,79130,넥센,40,4,1,3,25.0,0,1
대니돈,66306,넥센,129,1,1,0,100,3,0
홍성갑,61366,넥센,44,1,1,0,100,0,0
김민식,62864,SK,88,2,1,1,50.0,2,1
이재원,76812,SK,130,6,1,5,16.7,8,1
최정,75847,SK,141,3,1,2,33.3,1,1
한동민,62895,SK,6,1,1,0,100,0,0
김태균,71752,한화,144,1,1,0,100,7,0
로사리오,66740,한화,127,4,1,3,25.0,6,1
김민우,72303,KIA,19,1,1,0,100,0,0
김선빈,78603,KIA,6,2,1,1,50.0,0,0
김원섭,71207,KIA,37,1,1,0,100,1,0
김주형,74605,KIA,135,3,1,2,33.3,5,2
오준혁,61743,KIA,47,3,1,2,33.3,2,0
이범호,70756,KIA,138,2,1,1,50.0,5,0
이진영,66657,KIA,17,2,1,1,50.0,0,0
이호신,77648,KIA,51,2,1,1,50.0,2,0
최원준,66606,KIA,14,2,1,1,50.0,0,0
김주현,77669,롯데,21,1,1,0,100,0,0
박헌도,79356,롯데,37,1,1,0,100,0,0
서상우,62164,LG,56,1,1,0,100,1,0
안익훈,65115,LG,68,2,1,1,50.0,1,0
윤진호,79198,LG,34,1,1,0,100,0,0
이형종,78135,LG,61,1,1,0,100,5,2
김사연,78753,KT,20,3,1,2,33.3,0,0
남태혁,66052,KT,16,1,1,0,100,0,0
문상철,64007,KT,48,1,1,0,100,2,0
오정복,79453,KT,96,1,1,0,100,8,0
유민상,62265,KT,95,2,1,1,50.0,4,0
윤요섭,78892,KT,66,2,1,1,50.0,0,0
이해창,60343,KT,88,2,1,1,50.0,5,0
강동연,61295,두산,3,0,0,0,-,0,0
고봉재,66201,두산,1,0,0,0,-,0,0
고영민,72214,두산,8,0,0,0,-,0,0
김성배,73226,두산,1,0,0,0,-,0,0
김인태,63257,두산,14,0,0,0,-,0,0
서예일,66203,두산,31,0,0,0,-,0,0
에반스,66244,두산,118,0,0,0,-,6,0
이우성,63260,두산,2,0,0,0,-,0,0
이원석,75566,두산,7,0,0,0,-,0,0
이현승,76329,두산,2,0,0,0,-,0,0
