선수명,ID,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
박해민,62415,삼성,144,68,60,8,88.2,6,2
박민우,62907,NC,141,62,46,16,74.2,3,5
이대형,73153,KT,140,58,44,14,75.9,6,1
김종호,77454,NC,133,51,41,10,80.4,4,1
테임즈,64914,NC,142,48,40,8,83.3,10,1
오재원,77248,두산,120,39,31,8,79.5,3,2
이용규,74163,한화,124,38,28,10,73.7,8,2
김상수,79402,삼성,132,31,26,5,83.9,2,0
오지환,79109,LG,138,35,25,10,71.4,7,1
아두치,65523,롯데,132,34,24,10,70.6,5,0
나성범,62947,NC,144,27,23,4,85.2,4,1
나바로,64440,삼성,140,28,22,6,78.6,2,0
고종욱,61353,넥센,119,36,22,14,61.1,9,2
김하성,64300,넥센,140,26,22,4,84.6,9,2
이명기,76849,SK,137,32,22,10,68.8,6,3
정근우,75808,한화,126,27,21,6,77.8,7,3
신종길,72559,KIA,99,24,19,5,79.2,1,1
조동화,71848,SK,119,21,18,3,85.7,1,1
구자욱,62404,삼성,116,24,17,7,70.8,5,1
이종욱,73339,NC,125,21,17,4,81.0,3,0
정훈,60523,롯데,135,22,16,6,72.7,6,0
정수빈,79231,두산,128,24,15,9,62.5,5,0
오승택,60558,롯데,122,19,15,4,78.9,3,1
김사연,78753,KT,72,20,15,5,75.0,4,2
최재원,63913,NC,114,19,14,5,73.7,1,1
필,64699,KIA,143,24,14,10,58.3,6,1
박찬도,62409,삼성,116,19,13,6,68.4,1,0
김민혁,64004,KT,82,19,12,7,63.2,1,1
이택근,73342,넥센,105,17,11,6,64.7,10,2
김용의,78217,LG,71,17,11,6,64.7,2,1
박용택,72133,LG,128,15,11,4,73.3,2,1
김현수,76290,두산,141,16,11,5,68.8,7,0
손아섭,77532,롯데,116,17,11,6,64.7,7,1
황재균,76313,롯데,144,21,11,10,52.4,3,4
김호령,65653,KIA,103,13,11,2,84.6,0,2
박병호,75125,넥센,140,13,10,3,76.9,2,1
유재신,76368,넥센,62,11,10,1,90.9,0,2
박계현,61893,SK,97,18,10,8,55.6,2,1
최용규,78666,KIA,69,16,10,6,62.5,4,2
하준호,78517,KT,80,13,10,3,76.9,3,0
서건창,78168,넥센,85,11,9,2,81.8,4,2
문선재,79113,LG,103,15,9,6,60.0,3,0
정성훈,99606,LG,117,13,9,4,69.2,4,0
강한울,64610,KIA,90,13,9,4,69.2,3,2
히메네스,65103,LG,70,10,8,2,80.0,2,1
허경민,79240,두산,117,11,8,3,72.7,2,0
홍성흔,99222,두산,93,9,8,1,88.9,2,0
김문호,76509,롯데,93,13,8,5,61.5,2,0
김민우,72303,KIA,90,11,8,3,72.7,1,0
김원섭,71207,KIA,110,13,8,5,61.5,7,1
김주찬,70410,KIA,98,10,8,2,80.0,3,0
김강민,71837,SK,96,11,7,4,63.6,2,1
김재현,76869,SK,46,8,7,1,87.5,1,0
김재호,74206,두산,133,9,7,2,77.8,4,0
민병헌,76249,두산,129,10,7,3,70.0,4,2
고영우,63636,KIA,82,10,7,3,70.0,2,1
박한이,71432,삼성,94,12,6,6,50.0,5,0
양석환,64153,LG,125,12,6,6,50.0,3,1
정진호,61208,두산,77,9,6,3,66.7,1,0
송주호,60404,한화,121,7,6,1,85.7,5,1
박경수,73113,KT,137,10,6,4,60.0,6,2
모창민,78813,NC,103,5,5,0,100,3,0
박지규,65136,LG,102,8,5,3,62.5,2,0
서상우,62164,LG,58,6,5,1,83.3,2,1
브라운,65823,SK,137,7,5,2,71.4,8,0
정의윤,75151,SK,91,5,5,0,100,5,0
최정,75847,SK,81,7,5,2,71.4,1,0
양의지,76232,두산,132,9,5,4,55.6,11,0
장운호,63700,한화,42,7,5,2,71.4,1,1
박용근,77104,KT,27,7,5,2,71.4,2,0
심우준,64006,KT,106,7,5,2,71.4,2,0
스나이더,64158,넥센,113,6,4,2,66.7,6,0
지석훈,73306,NC,137,5,4,1,80.0,6,1
박재상,71857,SK,108,9,4,5,44.4,5,1
고영민,72214,두산,41,6,4,2,66.7,1,0
김재환,78224,두산,48,5,4,1,80.0,1,0
김민하,61554,롯데,54,6,4,2,66.7,1,0
문규현,72546,롯데,105,6,4,2,66.7,2,0
강경학,61700,한화,120,7,4,3,57.1,7,0
김상현,70646,KT,134,9,4,5,44.4,4,1
김진곤,63088,KT,67,6,4,2,66.7,0,1
박석민,74465,삼성,135,3,3,0,100,10,1
유한준,74339,넥센,139,6,3,3,50.0,10,0
윤석민,74215,넥센,108,5,3,2,60.0,6,0
김성욱,62934,NC,125,6,3,3,50.0,2,1
손시헌,73213,NC,140,5,3,2,60.0,4,1
조영훈,75441,NC,103,3,3,0,100,0,0
손주인,72456,LG,98,7,3,4,42.9,2,1
임훈,74823,LG,88,5,3,2,60.0,4,0
채은성,79192,LG,90,6,3,3,50.0,2,0
최경철,73824,LG,109,4,3,1,75.0,5,0
나주환,73209,SK,96,8,3,5,37.5,3,0
박정권,74846,SK,124,6,3,3,50.0,5,1
유서준,64890,SK,17,4,3,1,75.0,0,0
김대우,78536,롯데,39,4,3,1,75.0,2,1
나지완,78629,KIA,116,4,3,1,75.0,4,0
박찬호,64646,KIA,69,4,3,1,75.0,4,0
백용환,78643,KIA,65,4,3,1,75.0,1,0
