선수명,ID,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
전준호,91511,현대,132,60,53,7,88.3,0,0
김주찬,70410,롯데,120,54,44,10,81.5,0,0
이종범,93607,KIA,133,49,42,7,85.7,0,0
김종국,96616,KIA,133,47,39,8,83.0,0,0
정수근,95208,롯데,92,29,24,5,82.8,0,0
이영우,96734,한화,131,32,20,12,62.5,0,0
김수연,96777,한화,115,28,17,11,60.7,0,0
전상렬,91465,두산,128,22,15,7,68.2,0,0
최경환,70117,두산,126,22,14,8,63.6,0,0
정수성,97350,현대,88,13,13,0,100,0,0
박한이,71432,삼성,132,22,13,9,59.1,0,0
김민재,91523,SK,129,14,11,3,78.6,0,0
장성호,96610,KIA,130,18,11,7,61.1,0,0
박기혁,70553,롯데,131,15,11,4,73.3,0,0
박용택,72133,LG,109,14,10,4,71.4,0,0
홍성흔,99222,두산,133,17,10,7,58.8,0,0
강동우,98420,삼성,132,14,9,5,64.3,0,0
데이비스,99725,한화,119,14,9,5,64.3,0,0
권용관,95158,LG,124,14,9,5,64.3,0,0
이진영,99810,SK,117,14,8,6,57.1,0,0
홍세완,70626,KIA,96,12,8,4,66.7,0,0
고동진,74745,한화,51,10,8,2,80.0,0,0
이병규,97109,LG,129,12,8,4,66.7,0,0
안경현,92207,두산,125,11,8,3,72.7,0,0
브룸바,73324,현대,132,15,7,8,46.7,0,0
이호준,94629,SK,133,14,7,7,50.0,0,0
박재홍,96362,KIA,73,12,7,5,58.3,0,0
박종호,92906,삼성,132,9,7,2,77.8,0,0
김상현,70646,LG,100,12,7,5,58.3,0,0
마틴,74125,LG,107,7,7,0,100,0,0
박경수,73113,LG,92,13,7,6,53.8,0,0
최기문,96224,롯데,108,13,7,6,53.8,0,0
페레즈,73559,롯데,125,13,7,6,53.8,0,0
박진만,96307,현대,129,9,6,3,66.7,0,0
송지만,96761,현대,132,13,6,7,46.2,0,0
김경언,71610,KIA,114,8,6,2,75.0,0,0
이범호,70756,한화,133,9,6,3,66.7,0,0
최만호,97351,LG,112,10,6,4,60.0,0,0
신명철,71504,롯데,54,8,6,2,75.0,0,0
조원우,94836,SK,119,11,5,6,45.5,0,0
김대익,96503,삼성,93,6,5,1,83.3,0,0
김종훈,94539,삼성,127,7,5,2,71.4,0,0
양준혁,93410,삼성,133,7,5,2,71.4,0,0
오태근,72169,LG,46,8,5,3,62.5,0,0
장원진,92211,두산,130,13,5,8,38.5,0,0
박남섭,71815,롯데,86,6,5,1,83.3,0,0
채종국,98315,현대,128,8,4,4,50.0,0,0
조경환,98533,SK,92,5,4,1,80.0,0,0
마해영,95549,KIA,124,7,4,3,57.1,0,0
신종길,72559,한화,49,8,4,4,50.0,0,0
김동주,98218,두산,124,10,4,6,40.0,0,0
윤재국,98808,두산,28,9,4,5,44.4,0,0
정원석,70240,두산,54,8,4,4,50.0,0,0
이대호,71564,롯데,132,7,4,3,57.1,0,0
김일경,97300,현대,83,4,3,1,75.0,0,0
손지환,97103,KIA,114,6,3,3,50.0,0,0
이현곤,72606,KIA,68,3,3,0,100,0,0
조동찬,72466,삼성,123,3,3,0,100,0,0
신경현,98742,한화,97,7,3,4,42.9,0,0
라이온,74534,롯데,102,4,3,1,75.0,0,0
손인호,98538,롯데,122,5,3,2,60.0,0,0
조성환,99543,롯데,19,3,3,0,100,0,0
김동수,90419,현대,113,4,2,2,50.0,0,0
김강민,71837,SK,23,3,2,1,66.7,0,0
김기태,91803,SK,126,6,2,4,33.3,0,0
박경완,92809,SK,132,7,2,5,28.6,0,0
안재만,97157,SK,73,3,2,1,66.7,0,0
정경배,96441,SK,105,6,2,4,33.3,0,0
채종범,70833,SK,104,7,2,5,28.6,0,0
김상훈,70612,KIA,128,3,2,1,66.7,0,0
김재걸,95409,삼성,64,5,2,3,40.0,0,0
현재윤,72427,삼성,77,5,2,3,40.0,0,0
김태균,71752,한화,129,3,2,1,66.7,0,0
디아즈,73848,한화,70,7,2,5,28.6,0,0
엔젤,74723,한화,40,2,2,0,100,0,0
최민준,73757,한화,14,2,2,0,100,0,0
최진행,74729,한화,79,2,2,0,100,0,0
이대형,73153,LG,13,3,2,1,66.7,0,0
이종열,91015,LG,106,6,2,4,33.3,0,0
조인성,98144,LG,129,7,2,5,28.6,0,0
강봉규,70224,두산,40,3,2,1,66.7,0,0
김창희,97644,두산,110,5,2,3,40.0,0,0
박현승,95518,롯데,61,3,2,1,66.7,0,0
서정호,74564,롯데,15,2,2,0,100,0,0
강귀태,72312,현대,84,3,1,2,33.3,0,0
강병식,72325,현대,16,1,1,0,100,0,0
김민우,72303,현대,18,1,1,0,100,0,0
서한규,98504,현대,72,1,1,0,100,0,0
정성훈,99606,현대,118,4,1,3,25.0,0,0
조재호,72313,현대,87,1,1,0,100,0,0
김형철,73827,SK,23,1,1,0,100,0,0
송재익,97404,SK,68,2,1,1,50.0,0,0
조중근,71835,SK,41,1,1,0,100,0,0
서동욱,73606,KIA,58,3,1,2,33.3,0,0
심재학,95114,KIA,128,5,1,4,20.0,0,0
김한수,94450,삼성,133,3,1,2,33.3,0,0
신동주,91470,삼성,73,3,1,2,33.3,0,0
맹진국,73713,한화,5,1,1,0,100,0,0
박노민,74756,한화,4,1,1,0,100,0,0
임수민,96766,한화,111,3,1,2,33.3,0,0
조현수,72752,한화,92,2,1,1,50.0,0,0
한상훈,73703,한화,63,3,1,2,33.3,0,0
김재현,94107,LG,120,2,1,1,50.0,0,0
안치용,72161,LG,22,1,1,0,100,0,0
이용규,74163,LG,52,4,1,3,25.0,0,0
최동수,94132,LG,123,2,1,1,50.0,0,0
나주환,73209,두산,64,2,1,1,50.0,0,0
유재웅,72220,두산,76,3,1,2,33.3,0,0
이승준,99229,두산,64,1,1,0,100,0,0
박경진,99544,롯데,35,1,1,0,100,0,0
박연수,98130,롯데,74,1,1,0,100,0,0
박정준,73543,롯데,16,1,1,0,100,0,0
이계성,96468,롯데,54,1,1,0,100,0,0
이인구,73563,롯데,41,1,1,0,100,0,0
김성태,70345,현대,1,0,0,0,-,0,0
송신영,99314,현대,1,0,0,0,-,0,0
신철인,70323,현대,3,0,0,0,-,0,0
심정수,94204,현대,102,1,0,1,0.0,0,0
이상열,96720,현대,1,0,0,0,-,0,0
이숭용,94310,현대,133,3,0,3,0.0,0,0
이택근,73342,현대,41,2,0,2,0.0,0,0
전근표,70364,현대,79,2,0,2,0.0,0,0
조용준,72351,현대,3,0,0,0,-,0,0
지석훈,73306,현대,5,0,0,0,-,0,0
강성우,92509,SK,30,0,0,0,-,0,0
강혁,99210,SK,88,0,0,0,-,0,0
고효준,72523,SK,1,0,0,0,-,0,0
김건한,71851,SK,1,0,0,0,-,0,0
김경태,98128,SK,1,0,0,0,-,0,0
김영수,97236,SK,2,0,0,0,-,0,0
김원,74849,SK,5,0,0,0,-,0,0
김원형,91848,SK,1,0,0,0,-,0,0
박정권,74846,SK,24,0,0,0,-,0,0
박창근,72813,SK,3,0,0,0,-,0,0
브리또,70834,SK,102,2,0,2,0.0,0,0
송수근,73853,SK,28,0,0,0,-,0,0
송은범,73801,SK,1,0,0,0,-,0,0
신승현,70839,SK,1,0,0,0,-,0,0
신주일,70814,SK,1,0,0,0,-,0,0
양승학,73856,SK,2,0,0,0,-,0,0
엄정욱,70855,SK,1,0,0,0,-,0,0
윤현식,70148,SK,4,0,0,0,-,0,0
윤형국,72852,SK,10,0,0,0,-,0,0
이대수,72860,SK,105,1,0,1,0.0,0,0
이상훈,93147,SK,3,0,0,0,-,0,0
임훈,74823,SK,10,0,0,0,-,0,0
정대현,71801,SK,3,0,0,0,-,0,0
조웅천,90350,SK,4,0,0,0,-,0,0
최경철,73824,SK,34,0,0,0,-,0,0
카브레라,74828,SK,7,0,0,0,-,0,0
고우석,73629,KIA,1,0,0,0,-,0,0
김경진,99614,KIA,66,1,0,1,0.0,0,0
김민철,71609,KIA,11,0,0,0,-,0,0
김원섭,71207,KIA,41,3,0,3,0.0,0,0
김인철,90811,KIA,3,0,0,0,-,0,0
김주형,74605,KIA,47,1,0,1,0.0,0,0
김주호,73604,KIA,27,1,0,1,0.0,0,0
김지훈,98457,KIA,55,0,0,0,-,0,0
마뇽,74653,KIA,2,0,0,0,-,0,0
신용운,72649,KIA,2,0,0,0,-,0,0
오철민,97621,KIA,1,0,0,0,-,0,0
