선수명,ID,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
박해민,62415,삼성,144,52,40,12,76.9,3,2
버나디나,67650,KIA,139,39,32,7,82.1,8,1
손아섭,77532,롯데,144,33,25,8,75.8,4,0
이대형,73153,KT,100,27,23,4,85.2,0,2
박건우,79215,두산,131,23,20,3,87.0,3,1
나경민,66508,롯데,97,23,20,3,87.0,9,1
심우준,64006,KT,103,23,18,5,78.3,2,2
나성범,62947,NC,125,24,17,7,70.8,3,2
고종욱,61353,넥센,123,20,16,4,80.0,4,0
김하성,64300,넥센,141,24,16,8,66.7,6,0
노수광,63704,SK,131,25,16,9,64.0,2,1
서건창,78168,넥센,139,21,15,6,71.4,4,0
오태곤,60558,KT,135,24,15,9,62.5,5,1
이상호,60566,NC,95,14,12,2,85.7,4,1
이정후,67341,넥센,144,16,12,4,75.0,6,0
강한울,64610,삼성,135,19,12,7,63.2,4,0
박민우,62907,NC,106,12,11,1,91.7,4,0
이형종,78135,LG,128,17,11,6,64.7,2,0
조용호,64868,SK,69,13,11,2,84.6,3,1
김헌곤,61404,삼성,123,13,11,2,84.6,3,2
김성욱,62934,NC,124,14,10,4,71.4,2,0
오지환,79109,LG,107,15,10,5,66.7,4,1
김강민,71837,SK,88,14,10,4,71.4,0,1
로사리오,66740,한화,119,15,10,5,66.7,6,1
이용규,74163,한화,57,13,10,3,76.9,1,2
번즈,67598,롯데,116,17,10,7,58.8,12,2
구자욱,62404,삼성,144,14,10,4,71.4,3,0
모창민,78813,NC,136,15,9,6,60.0,6,1
이재율,66968,NC,52,10,9,1,90.0,2,1
이종욱,73339,NC,107,11,9,2,81.8,4,0
김용의,78217,LG,60,13,9,4,69.2,2,0
김주찬,70410,KIA,122,11,9,2,81.8,5,0
김문호,76509,롯데,131,13,9,4,69.2,5,0
하준호,78517,KT,101,14,9,5,64.3,3,1
허경민,79240,두산,130,12,8,4,66.7,3,0
이천웅,61186,LG,75,11,8,3,72.7,2,0
이명기,76849,KIA,115,15,8,7,53.3,2,0
장민석,71347,한화,88,12,8,4,66.7,3,1
김재호,74206,두산,91,8,7,1,87.5,4,2
류지혁,62234,두산,125,12,7,5,58.3,2,0
오재원,77248,두산,127,14,7,7,50.0,4,1
안치홍,79608,KIA,132,7,7,0,100,2,0
하주석,62700,한화,111,13,7,6,53.8,7,0
정근우,75808,한화,105,12,6,6,50.0,3,2
채은성,79192,LG,114,11,5,6,45.5,4,1
신본기,62556,롯데,128,7,5,2,71.4,2,2
로하스,67025,KT,83,13,5,8,38.5,4,0
김재환,78224,두산,144,5,4,1,80.0,4,0
스크럭스,67935,NC,115,4,4,0,100,7,1
박용택,72133,LG,138,6,4,2,66.7,7,0
손주인,72456,LG,115,4,4,0,100,2,0
정성훈,99606,LG,115,7,4,3,57.1,3,0
김선빈,78603,KIA,137,8,4,4,50.0,4,0
정진기,61869,SK,90,4,4,0,100,0,0
양성우,62797,한화,118,8,4,4,50.0,8,1
이동훈,66702,한화,67,6,4,2,66.7,0,0
김동한,61204,롯데,81,7,4,3,57.1,0,0
황진수,78566,롯데,60,4,4,0,100,0,0
김성훈,66462,삼성,47,6,4,2,66.7,1,0
이지영,79456,삼성,105,7,4,3,57.1,1,0
정현,63450,KT,124,6,4,2,66.7,3,1
민병헌,76249,두산,123,7,3,4,42.9,2,0
조수행,66209,두산,80,5,3,2,60.0,2,0
최주환,76267,두산,129,5,3,2,60.0,2,1
권희동,63963,NC,141,6,3,3,50.0,4,0
박정음,62353,넥센,81,7,3,4,42.9,4,0
안익훈,65115,LG,108,5,3,2,60.0,4,1
양석환,64153,LG,132,10,3,7,30.0,5,1
최재원,63913,LG,69,6,3,3,50.0,3,0
히메네스,65103,LG,51,8,3,5,37.5,2,0
김민식,62864,KIA,137,6,3,3,50.0,4,0
김호령,65653,KIA,98,5,3,2,60.0,0,0
유재신,76368,KIA,25,4,3,1,75.0,0,0
최원준,66606,KIA,72,5,3,2,60.0,4,1
이대수,72860,SK,58,3,3,0,100,2,0
오선진,78756,한화,65,8,3,5,37.5,0,0
이성열,73136,한화,81,3,3,0,100,4,1
정훈,60523,롯데,68,4,3,1,75.0,0,0
김정혁,61463,삼성,31,4,3,1,75.0,0,0
조동찬,72466,삼성,122,3,3,0,100,4,1
박세혁,62244,두산,97,3,2,1,66.7,2,0
에반스,66244,두산,138,2,2,0,100,1,0
김준완,63920,NC,104,4,2,2,50.0,2,0
윤병호,62016,NC,49,2,2,0,100,0,0
박동원,79365,넥센,103,3,2,1,66.7,7,0
임병욱,64346,넥센,21,2,2,0,100,1,0
강승호,63123,LG,85,4,2,2,50.0,1,2
유강남,61102,LG,118,2,2,0,100,1,0
황목치승,63077,LG,45,2,2,0,100,1,0
신종길,72559,KIA,64,3,2,1,66.7,0,1
김동엽,66838,SK,125,6,2,4,33.3,2,2
김성현,76802,SK,130,3,2,1,66.7,2,0
한동민,62895,SK,103,4,2,2,50.0,1,0
송광민,76753,한화,117,5,2,3,40.0,1,0
정경운,66716,한화,46,2,2,0,100,2,0
문규현,72546,롯데,110,3,2,1,66.7,1,1
이우민,71565,롯데,104,6,2,4,33.3,1,2
전준우,78513,롯데,110,6,2,4,33.3,2,1
러프,67450,삼성,134,4,2,2,50.0,12,0
이원석,75566,삼성,121,2,2,0,100,4,0
김사연,78753,KT,35,2,2,0,100,0,0
모넬,67024,KT,28,3,2,1,66.7,3,0
박기혁,70553,KT,97,3,2,1,66.7,4,0
전민수,78361,KT,55,3,2,1,66.7,1,0
신성현,64086,두산,34,1,1,0,100,0,0
양의지,76232,두산,111,2,1,1,50.0,3,0
오재일,75334,두산,128,2,1,1,50.0,1,1
정진호,61208,두산,97,2,1,1,50.0,2,2
김종호,77454,NC,3,1,1,0,100,0,0
박석민,74465,NC,101,3,1,2,33.3,4,0
손시헌,73213,NC,124,1,1,0,100,2,0
이호준,94629,NC,77,1,1,0,100,1,0
지석훈,73306,NC,121,1,1,0,100,4,0
채상현,66302,넥센,5,1,1,0,100,0,0
허정협,65399,넥센,83,3,1,2,33.3,0,0
백창수,60100,LG,52,1,1,0,100,1,2
서상우,62164,LG,10,1,1,0,100,0,0
임훈,74823,LG,42,3,1,2,33.3,0,1
정주현,79150,LG,15,1,1,0,100,1,0
김지성,62007,KIA,37,1,1,0,100,1,0
나지완,78629,KIA,137,2,1,1,50.0,4,2
서동욱,73606,KIA,125,2,1,1,50.0,3,0
김재현,76869,SK,14,3,1,2,33.3,0,0
로맥,67872,SK,102,2,1,1,50.0,3,1
박정권,74846,SK,118,2,1,1,50.0,2,0
