선수명,ID,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
이대형,73153,LG,126,78,63,15,80.8,0,0
이종욱,73339,두산,122,55,47,8,85.5,0,0
정근우,75808,SK,124,60,40,20,66.7,0,0
고영민,72214,두산,126,48,39,9,81.3,0,0
김주찬,70410,롯데,104,50,32,18,64.0,0,0
조성환,99543,롯데,123,34,31,3,91.2,0,0
오재원,77248,두산,117,35,28,7,80.0,0,0
이용규,74163,KIA,106,37,28,9,75.7,0,0
클락,78725,한화,125,30,25,5,83.3,0,0
정수근,95208,롯데,80,37,24,13,64.9,0,0
박재상,71857,SK,94,30,21,9,70.0,0,0
김원섭,71207,KIA,106,29,21,8,72.4,0,0
조동화,71848,SK,103,22,19,3,86.4,0,0
최정,75847,SK,114,27,19,8,70.4,0,0
추승우,72139,한화,119,24,19,5,79.2,0,0
민병헌,76249,두산,87,24,18,6,75.0,0,0
이택근,73342,우리,110,24,18,6,75.0,0,0
김강민,71837,SK,106,24,16,8,66.7,0,0
박용택,72133,LG,96,22,16,6,72.7,0,0
박기혁,70553,롯데,113,23,16,7,69.6,0,0
전준호,91511,우리,114,27,16,11,59.3,0,0
정수성,97350,우리,76,22,16,6,72.7,0,0
장성호,96610,KIA,85,20,15,5,75.0,0,0
나주환,73209,SK,118,19,14,5,73.7,0,0
김현수,76290,두산,126,21,13,8,61.9,0,0
김민재,91523,한화,114,16,13,3,81.3,0,0
김종국,96616,KIA,113,16,13,3,81.3,0,0
발데스,78649,KIA,47,17,13,4,76.5,0,0
이진영,99810,SK,95,18,12,6,66.7,0,0
김재호,74206,두산,112,15,12,3,80.0,0,0
이범호,70756,한화,125,13,12,1,92.3,0,0
이인구,73563,롯데,42,13,11,2,84.6,0,0
모창민,78813,SK,91,17,10,7,58.8,0,0
황재균,76313,우리,117,17,10,7,58.8,0,0
신명철,71504,삼성,97,10,9,1,90.0,0,0
박용근,77104,LG,93,13,9,4,69.2,0,0
이종범,93607,KIA,110,12,9,3,75.0,0,0
이성열,73136,두산,84,12,8,4,66.7,0,0
홍성흔,99222,두산,114,9,8,1,88.9,0,0
조동찬,72466,삼성,68,11,8,3,72.7,0,0
정성훈,99606,우리,109,12,8,4,66.7,0,0
정원석,70240,두산,90,10,7,3,70.0,0,0
이여상,76435,한화,94,9,7,2,77.8,0,0
허승민,78458,삼성,85,9,7,2,77.8,0,0
안치용,72161,LG,101,9,7,2,77.8,0,0
유재신,76368,우리,54,9,7,2,77.8,0,0
박경완,92809,SK,101,10,6,4,60.0,0,0
김재걸,95409,삼성,99,9,6,3,66.7,0,0
박경수,73113,LG,116,11,6,5,54.5,0,0
박재홍,96362,SK,112,11,5,6,45.5,0,0
한상훈,73703,한화,122,5,5,0,100,0,0
박진만,96307,삼성,104,9,5,4,55.6,0,0
박한이,71432,삼성,104,11,5,6,45.5,0,0
김선빈,78603,KIA,112,14,5,9,35.7,0,0
이현곤,72606,KIA,112,10,5,5,50.0,0,0
차일목,73602,KIA,106,9,5,4,55.6,0,0
김일경,97300,우리,70,8,5,3,62.5,0,0
김재현,94107,SK,108,7,4,3,57.1,0,0
신경현,98742,한화,107,7,4,3,57.1,0,0
