선수명,ID,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
박해민,62415,삼성,144,46,36,10,78.3,7,1
버나디나,67650,KIA,131,45,32,13,71.1,6,3
김혜성,67304,넥센,136,37,31,6,83.8,6,3
이용규,74163,한화,134,41,30,11,73.2,8,0
노수광,63704,SK,135,29,25,4,86.2,6,1
호잉,68730,한화,142,32,23,9,71.9,4,2
김헌곤,61404,삼성,141,31,22,9,71.0,8,1
허경민,79240,두산,133,24,20,4,83.3,6,0
손아섭,77532,롯데,141,23,20,3,87.0,5,1
정주현,79150,LG,115,21,18,3,85.7,3,0
로하스,67025,KT,144,31,18,13,58.1,5,2
박민우,62907,NC,115,22,17,5,77.3,4,1
고종욱,61353,넥센,102,21,17,4,81.0,6,0
임병욱,64346,넥센,134,19,16,3,84.2,3,0
오재원,77248,두산,132,21,15,6,71.4,5,2
나성범,62947,NC,144,17,15,2,88.2,3,2
하주석,62700,한화,141,26,14,12,53.8,3,2
황재균,76313,KT,142,21,14,7,66.7,8,0
이상호,60566,NC,114,18,13,5,72.2,3,1
오태곤,60558,KT,128,21,13,8,61.9,4,0
이명기,76849,KIA,120,17,12,5,70.6,5,0
나경민,66508,롯데,87,16,12,4,75.0,2,2
김상수,79402,삼성,122,21,12,9,57.1,2,0
김성훈,66462,삼성,110,18,12,6,66.7,3,0
김성욱,62934,NC,111,13,11,2,84.6,4,0
김동엽,66838,SK,124,13,11,2,84.6,5,2
정진기,61869,SK,96,14,11,3,78.6,1,0
이정후,67341,넥센,109,15,11,4,73.3,5,3
심우준,64006,KT,135,22,11,11,50.0,2,0
최원준,66606,KIA,101,14,10,4,71.4,3,0
김강민,71837,SK,80,16,10,6,62.5,4,1
로맥,67872,SK,141,15,10,5,66.7,7,1
김용의,78217,LG,114,11,10,1,90.9,0,1
오지환,79109,LG,144,15,10,5,66.7,2,3
이천웅,61186,LG,112,20,10,10,50.0,2,0
구자욱,62404,삼성,116,10,10,0,100,4,0
조수행,66209,두산,119,9,9,0,100,1,1
최정,75847,SK,115,11,9,2,81.8,2,0
이성열,73136,한화,131,16,9,7,56.3,2,0
김주찬,70410,KIA,121,9,8,1,88.9,2,0
