선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
최승민,65905,NC,0.444,24,10,9,5,4,1,0,0,5,1,0,0,1,0,0,2,0,0.556,0.500,1.056,0,0.000,0.000,1,1,2,0.50,0,0.50,3.80,0.111,2.5,0.364
나성범,62947,NC,0.366,23,106,93,19,34,12,1,4,60,14,0,0,12,0,1,26,2,0.645,0.443,1.088,12,0.280,0.000,17,13,20,0.65,3,0.46,3.95,0.280,22.1,0.361
양의지,76232,NC,0.354,118,459,390,61,138,26,0,20,224,68,0,6,48,4,15,43,13,0.574,0.438,1.012,43,0.364,0.167,46,86,129,0.67,4,1.12,3.74,0.221,88.7,0.341
박민우,62907,NC,0.344,125,526,468,89,161,23,8,1,203,45,2,6,41,1,9,40,10,0.434,0.403,0.837,45,0.333,0.000,32,129,144,0.90,5,1.03,3.74,0.090,79.4,0.290
모창민,78813,NC,0.305,101,386,341,49,104,21,2,10,159,55,0,11,31,1,3,62,8,0.466,0.358,0.824,30,0.261,0.625,33,75,111,0.68,8,0.50,3.57,0.161,57.8,0.278
이명기,76849,NC,0.293,139,547,484,62,142,17,3,2,171,36,7,4,48,2,4,66,12,0.353,0.359,0.712,39,0.269,0.000,22,169,111,1.52,4,0.73,3.83,0.060,63.0,0.250
이상호,60566,NC,0.278,102,256,234,30,65,7,0,0,72,12,8,3,9,0,2,22,10,0.308,0.306,0.614,18,0.179,0.083,7,102,48,2.13,3,0.41,3.07,0.030,20.3,0.215
김찬형,66917,NC,0.277,76,154,141,16,39,4,2,1,50,12,2,1,6,0,4,21,1,0.355,0.322,0.677,10,0.143,0.167,7,50,32,1.56,3,0.29,3.30,0.078,15.8,0.234
김태진,64984,NC,0.275,123,399,374,44,103,14,5,5,142,46,5,3,16,0,1,67,3,0.380,0.305,0.685,28,0.296,0.111,24,102,105,0.97,4,0.24,3.56,0.104,43.9,0.232
박석민,74465,NC,0.267,112,444,360,49,96,17,1,19,172,74,4,3,65,2,12,69,17,0.478,0.393,0.871,20,0.280,0.333,37,108,90,1.20,5,0.94,4.19,0.211,66.3,0.296
손시헌,73213,NC,0.267,68,149,135,17,36,4,1,2,48,10,4,0,5,0,5,23,2,0.356,0.317,0.673,11,0.300,0.250,7,34,42,0.81,1,0.22,3.68,0.089,14.6,0.232
노진혁,62931,NC,0.264,110,390,348,51,92,23,2,13,158,43,6,3,31,2,2,80,7,0.454,0.326,0.780,23,0.241,0.000,38,83,96,0.86,4,0.39,3.90,0.190,50.2,0.260
이원재,62025,NC,0.258,94,285,256,31,66,11,0,8,101,36,5,3,20,0,1,47,5,0.395,0.311,0.706,16,0.279,0.182,19,78,68,1.15,4,0.43,3.74,0.137,31.6,0.239
권희동,63963,NC,0.256,116,413,348,37,89,17,0,6,124,41,5,3,50,1,7,60,10,0.356,0.358,0.714,18,0.227,0.231,23,90,112,0.80,6,0.83,4.16,0.101,47.5,0.250
김준완,63920,NC,0.250,8,19,16,0,4,0,0,0,4,1,0,1,2,0,0,2,0,0.250,0.316,0.566,1,0.000,0.000,0,5,6,0.83,0,1.00,4.42,0.000,2.0,0.205
윤수강,62537,NC,0.250,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.250,0.250,0.500,0,0.000,0.000,0,2,0,-,0,0.00,3.75,0.000,-0.1,0.175
이인혁,68901,NC,0.250,6,9,8,1,2,0,0,1,5,1,0,0,1,0,0,3,0,0.625,0.333,0.958,0,0.000,1.000,1,2,1,2.00,0,0.33,4.00,0.375,1.7,0.306
