선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
오정복,79453,KT,0.354,81,213,195,24,69,13,0,2,88,16,3,1,9,0,5,24,5,0.451,0.395,0.846,21,0.311,0.360,15,55,48,1.15,3,0.38,3.59,0.097,30.8,0.291
윤석민,74215,KT,0.312,142,586,538,90,168,30,1,20,260,105,0,7,33,0,8,85,24,0.483,0.357,0.840,48,0.331,0.125,51,159,133,1.20,10,0.39,3.89,0.171,83.3,0.281
유한준,74339,KT,0.306,133,497,445,52,136,19,0,13,194,68,2,3,45,2,2,59,10,0.436,0.370,0.806,39,0.362,0.125,32,120,133,0.90,1,0.76,3.97,0.130,68.8,0.276
로하스,67025,KT,0.301,83,367,336,52,101,27,3,18,188,56,0,3,23,0,5,81,6,0.560,0.351,0.911,29,0.294,0.000,48,81,76,1.07,4,0.28,4.08,0.259,59.9,0.298
정현,63450,KT,0.300,124,399,350,45,105,20,3,6,149,42,6,3,18,0,22,69,14,0.426,0.369,0.795,26,0.280,0.250,29,88,91,0.97,2,0.26,3.70,0.126,51.4,0.273
이진영,99810,KT,0.289,103,285,263,28,76,26,1,2,110,31,4,0,17,1,1,34,3,0.418,0.335,0.753,17,0.273,0.294,29,86,67,1.28,1,0.50,3.55,0.129,34.1,0.255
김동욱,77462,KT,0.287,83,223,209,28,60,9,0,4,81,24,0,5,6,0,3,44,7,0.388,0.309,0.697,11,0.274,0.250,13,58,52,1.12,1,0.14,3.60,0.100,24.5,0.236
심우준,64006,KT,0.287,103,303,286,38,82,15,2,4,113,26,4,1,8,0,4,58,4,0.395,0.314,0.709,17,0.333,0.000,21,68,79,0.86,2,0.14,3.59,0.108,35.1,0.240
오태곤,60558,KT,0.283,135,410,374,53,106,29,1,9,164,42,8,6,16,0,6,93,7,0.439,0.318,0.757,24,0.229,0.250,39,89,92,0.97,4,0.17,3.58,0.155,50.8,0.253
김진곤,63088,KT,0.282,28,40,39,9,11,1,0,2,18,8,0,0,1,0,0,11,0,0.462,0.300,0.762,2,0.455,0.250,3,9,8,1.13,0,0.09,3.53,0.179,5.5,0.251
전민수,78361,KT,0.277,55,145,130,20,36,8,0,1,47,8,3,1,11,0,0,25,2,0.362,0.331,0.693,8,0.273,0.143,9,38,32,1.19,1,0.44,3.79,0.085,15.6,0.239
이해창,60343,KT,0.272,114,283,254,33,69,11,0,11,113,44,6,2,19,1,1,50,5,0.445,0.322,0.767,15,0.310,0.333,22,58,79,0.73,4,0.38,3.88,0.173,35.0,0.256
이대형,73153,KT,0.267,100,366,337,51,90,8,3,0,104,24,4,1,24,1,0,54,8,0.309,0.315,0.624,25,0.372,0.556,11,155,39,3.97,0,0.44,3.71,0.042,34.2,0.219
박경수,73113,KT,0.262,131,511,442,62,116,27,1,15,190,66,3,3,57,4,6,118,14,0.430,0.352,0.782,30,0.291,0.500,43,89,122,0.73,3,0.48,4.41,0.167,64.6,0.266
남태혁,66052,KT,0.250,31,68,60,8,15,1,0,2,22,11,0,1,6,0,1,20,0,0.367,0.324,0.691,2,0.333,0.111,3,12,14,0.86,1,0.30,4.32,0.117,8.1,0.238
박기혁,70553,KT,0.238,97,263,235,22,56,11,1,2,75,18,7,3,16,0,2,51,9,0.319,0.289,0.608,11,0.194,0.000,14,83,48,1.73,2,0.31,3.78,0.081,20.5,0.210
유민상,62265,KT,0.233,15,33,30,4,7,1,0,1,11,2,0,0,2,0,1,8,1,0.367,0.303,0.670,0,0.222,0.000,2,11,4,2.75,0,0.25,4.33,0.133,3.4,0.228
